timestamp,x1,y1,x2,y2
5.250002,0.077005,3.472887,74.588463,-201.052551
5.300002,0.061392,3.493801,79.740540,-198.954132
5.350002,0.045961,3.514219,84.833015,-196.692108
5.400002,0.030722,3.534146,89.861656,-194.267899
5.450003,0.015690,3.553586,94.822243,-191.682983
5.500003,0.000877,3.572543,99.710541,-188.938904
5.550003,-0.013704,3.591023,104.522339,-186.037277
5.600003,-0.028041,3.609031,109.253410,-182.979797
5.650003,-0.042120,3.626571,113.899536,-179.768234
5.700004,-0.055929,3.643651,118.456490,-176.404419
5.750004,-0.069455,3.660275,122.920052,-172.890274
5.800004,-0.082685,3.676449,127.285988,-169.227814
5.850004,-0.095606,3.692180,131.550064,-165.419128
5.900004,-0.108206,3.707475,135.708038,-161.466415
5.950005,-0.120472,3.722340,139.755676,-157.371964
6.000005,-0.132390,3.736784,143.688736,-153.138168
6.050005,-0.143948,3.750812,147.502960,-148.767502
6.100005,-0.155134,3.764433,151.194092,-144.262589
6.150005,-0.165933,3.777656,154.757889,-139.626129
6.200006,-0.176334,3.790489,158.190079,-134.860962
6.250006,-0.186323,3.802941,161.486420,-129.970047
6.300006,-0.195887,3.815021,164.642654,-124.956467
6.350006,-0.205014,3.826739,167.654541,-119.823441
6.400006,-0.213691,3.838105,170.517838,-114.574341
6.450006,-0.221904,3.849131,173.228317,-109.212669
6.500007,-0.229642,3.859826,175.781769,-103.742088
6.550007,-0.236891,3.870203,178.173996,-98.166412
6.600007,-0.243639,3.880273,180.400833,-92.489632
6.650007,-0.249873,3.890049,182.458130,-86.715889
6.700007,-0.255581,3.899545,184.341782,-80.849510
6.750008,-0.260751,3.908774,186.047729,-74.895004
6.800008,-0.265370,3.917750,187.571960,-68.857071
6.850008,-0.269426,3.926488,188.910507,-62.740601
6.900008,-0.272908,3.935003,190.059479,-56.550682
6.950008,-0.275803,3.943312,191.015060,-50.292610
7.000009,-0.278102,3.951431,191.773499,-43.971893
7.050009,-0.279792,3.959378,192.331177,-37.594254
7.100009,-0.280862,3.967170,192.684555,-31.165632
7.150009,-0.281304,3.974826,192.830215,-24.692200
7.200009,-0.281106,3.982366,192.764893,-18.180355
7.250010,-0.280259,3.989810,192.485458,-11.636725
7.300010,-0.278755,3.997178,191.988953,-5.068175
7.350010,-0.276584,4.004492,191.272598,1.518197
7.400010,-0.273739,4.011774,190.333817,8.115057
7.450010,-0.270213,4.019047,189.170242,14.714834
7.500010,-0.265999,4.026335,187.779755,21.309727
7.550011,-0.261092,4.033663,186.160477,27.891701
7.600011,-0.255487,4.041054,184.310806,34.452499
7.650011,-0.249180,4.048536,182.229462,40.983650
7.700011,-0.242168,4.056133,179.915482,47.476467
7.750011,-0.234449,4.063874,177.368225,53.922066
7.800012,-0.226023,4.071785,174.587418,60.311378
7.850012,-0.216889,4.079895,171.573196,66.635162
7.900012,-0.207049,4.088232,168.326080,72.884026
7.950012,-0.196506,4.096824,164.847046,79.048439
8.000012,-0.185265,4.105702,161.137497,85.118752
8.050013,-0.173331,4.114894,157.199341,91.085243
8.100013,-0.160712,4.124431,153.034943,96.938126
8.150013,-0.147416,4.134342,148.647202,102.667580
8.200013,-0.133453,4.144656,144.039536,108.263786
8.250013,-0.118836,4.155404,139.215897,113.716972
8.300014,-0.103578,4.166615,134.180771,119.017441
8.350014,-0.087695,4.178318,128.939240,124.155594
8.400014,-0.071203,4.190540,123.496902,129.122009
8.450014,-0.054121,4.203312,117.859940,133.907455
8.500014,-0.036470,4.216659,112.035080,138.502930
8.550014,-0.018272,4.230608,106.029610,142.899734
8.600015,0.000450,4.245184,99.851349,147.089493
8.650015,0.019671,4.260413,93.508644,151.064224
8.700015,0.039363,4.276315,87.010323,154.816345
8.750015,0.059498,4.292914,80.365707,158.338730
8.800015,0.080047,4.310229,73.584557,161.624786
8.850016,0.100979,4.328279,66.677032,164.668442
8.900016,0.122262,4.347079,59.653683,167.464188
8.950016,0.143862,4.366646,52.525372,170.007156
